,orderId,session,duration,orderType,instrument,instruction,quantity,quantity,filledQuantity,status,enteredTime
66,1898273260,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:46:33+0000
67,1898273262,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:47:13+0000
68,1898273256,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:43:19+0000
69,1898273259,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:45:57+0000
70,1898273258,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:44:08+0000
71,1898273269,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '053015103', 'symbol': 'ADP'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:19+0000
72,1898273268,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:18+0000
73,1898273271,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '110122108', 'symbol': 'BMY'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:20+0000
74,1898273270,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '038222105', 'symbol': 'AMAT'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:19+0000
75,1898273264,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:48:08+0000
76,1898273266,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': 'G1151C101', 'symbol': 'ACN'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:49:18+0000
77,1898273277,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '478160104', 'symbol': 'JNJ'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:22+0000
78,1898273276,NORMAL,DAY,MARKET,"{'assetType': 'EQUITY', 'cusip': '452308109', 'symbol': 'ITW'}",BUY,4.0,4.0,0.0,REJECTED,2021-01-10T15:54:22+0000
